d,y,q_model,q_base,loss_m,loss_b,w
2025-01-01,1.060374140739441,1.4281948804855347,1.789114236831665,0.036782073974609364,0.0728740096092224,2025-W01
2025-01-02,1.060374140739441,1.4798130989074707,1.789114236831665,0.04194389581680297,0.0728740096092224,2025-W01
2025-01-03,0.8277890682220459,1.4916703701019287,1.789114236831665,0.06638813018798827,0.09613251686096189,2025-W01
2025-01-06,0.8277890682220459,1.4573657512664795,1.789114236831665,0.06295766830444334,0.09613251686096189,2025-W02
2025-01-07,0.8277890682220459,1.4339444637298584,1.789114236831665,0.060615539550781236,0.09613251686096189,2025-W02
2025-01-08,0.9150199294090271,1.466545820236206,1.789114236831665,0.05515258908271788,0.08740943074226377,2025-W02
2025-01-09,1.1057928800582886,1.5141757726669312,1.789114236831665,0.04083828926086425,0.06833213567733763,2025-W02
2025-01-10,1.1057928800582886,1.503265380859375,1.789114236831665,0.03974725008010863,0.06833213567733763,2025-W02
2025-01-13,1.1057928800582886,1.51777184009552,1.789114236831665,0.04119789600372314,0.06833213567733763,2025-W03
2025-01-14,1.1057928800582886,1.5138309001922607,1.789114236831665,0.04080380201339721,0.06833213567733763,2025-W03
2025-01-15,1.1057928800582886,1.5247701406478882,1.7886303663253784,0.04189772605895995,0.06828374862670897,2025-W03
2025-01-16,1.0106223821640015,1.654367446899414,1.7842761278152466,0.06437450647354125,0.07736537456512449,2025-W03
2025-01-17,1.0106223821640015,1.6188136339187622,1.7842761278152466,0.06081912517547606,0.07736537456512449,2025-W03
2025-01-20,1.524361252784729,1.6019697189331055,1.7842761278152466,0.007760846614837644,0.025991487503051754,2025-W04
2025-01-21,1.524361252784729,1.6495798826217651,1.7842761278152466,0.01252186298370361,0.025991487503051754,2025-W04
2025-01-22,1.524361252784729,1.6352065801620483,1.7842761278152466,0.01108453273773193,0.025991487503051754,2025-W04
2025-01-23,1.524361252784729,1.5256556272506714,1.7842761278152466,0.00012943744659423825,0.025991487503051754,2025-W04
2025-01-24,1.524361252784729,1.5062850713729858,1.7842761278152466,0.01626856327056885,0.025991487503051754,2025-W04
2025-01-27,1.9114294052124023,1.972954273223877,1.7842761278152466,0.0061524868011474595,0.11443794965744018,2025-W05
2025-01-28,1.9114294052124023,1.9107420444488525,1.7842761278152466,0.0006186246871948243,0.11443794965744018,2025-W05
